time,t35,t36,t37,t38
00:05,30,30,30,30
00:15,30,30,30,30
00:25,30,30,30,30
00:35,30,30,30,30
00:45,30,30,30,30
00:55,30,30,30,30
01:05,30,30,30,30
01:15,30,30,30,30
01:25,30,30,30,30
01:35,30,30,30,30
01:45,30,30,30,30
01:55,30,30,30,30
02:05,30,30,30,30
02:15,30,30,30,30
02:25,30,30,30,30
02:35,30,30,30,30
02:45,30,30,30,30
02:55,30,30,30,30
03:05,30,30,30,30
03:15,30,30,30,30
03:25,30,30,30,30
03:35,30,30,30,30
03:45,30,30,30,30
03:55,30,30,30,30
04:05,30,30,30,30
04:15,30,30,30,30
04:25,30,30,30,30
04:35,30,30,30,30
04:45,30,30,30,30
04:55,30,30,30,30
05:05,30,30,30,30
05:15,30,30,30,30
05:25,30,30,30,30
05:35,30,30,30,30
05:45,30,30,30,30
05:55,30,30,30,30
06:05,30,30,30,30
06:15,30,30,30,30
06:25,30,30,30,30
06:35,30,30,30,30
06:45,30,30,30,30
06:55,30,30,30,30
07:05,30,30,30,30
07:15,30,30,30,30
07:25,30,30,30,30
07:35,30,30,30,30
07:45,30,30,30,30
07:55,30,30,30,30
08:05,30,30,30,30
08:15,30,30,30,30
08:25,30,30,30,30
08:35,30,30,30,30
08:45,30,30,30,30
08:55,30,30,30,30
09:05,30,30,30,30
09:15,30,30,30,30
09:25,30,30,30,30
09:35,30,30,30,30
09:45,30,30,30,30
09:55,30,30,30,30
10:05,30,30,30,30
10:15,30,30,30,30
10:25,30,30,30,30
10:35,30,30,30,30
10:45,30,30,30,30
10:55,30,30,30,30
11:05,30,30,30,30
11:15,30,30,30,30
11:25,30,30,30,30
11:35,30,30,30,30
11:45,30,30,30,30
11:55,30,30,30,30
12:05,30,30,30,30
12:15,30,30,30,30
12:25,30,30,30,30
12:35,30,30,30,30
12:45,30,30,30,30
12:55,30,30,30,30
13:05,30,30,30,30
13:07,30.06,30.07,30.08,30.09
13:09,30.11,30.13,30.16,30.18
13:11,30.17,30.2,30.23,30.27
13:13,30.22,30.27,30.31,30.36
13:15,30.28,30.33,30.39,30.44
13:17,30.33,30.4,30.47,30.53
13:19,30.39,30.47,30.54,30.62
13:21,30.44,30.53,30.62,30.71
13:23,30.5,30.6,30.7,30.8
13:25,30.56,30.67,30.78,30.89
13:27,30.61,30.73,30.86,30.98
13:29,30.67,30.8,30.93,31.07
13:31,30.72,30.87,31.01,31.16
13:33,30.78,30.93,31.09,31.24
13:35,30.83,31,31.17,31.33
13:37,30.89,31.07,31.24,31.42
13:39,30.94,31.13,31.32,31.51
13:41,31,31.2,31.4,31.6
13:43,31.06,31.27,31.48,31.69
13:45,31.11,31.33,31.56,31.78
13:47,31.17,31.4,31.63,31.87
13:49,31.22,31.47,31.71,31.96
13:51,31.28,31.53,31.79,32.04
13:53,31.33,31.6,31.87,32.13
13:55,31.39,31.67,31.94,32.22
13:57,31.44,31.73,32.02,32.31
13:59,31.5,31.8,32.1,32.4
14:01,31.56,31.87,32.18,32.49
14:03,31.61,31.93,32.26,32.58
14:05,31.67,32,32.33,32.67
14:07,31.72,32.07,32.41,32.76
14:09,31.78,32.13,32.49,32.84
14:11,31.83,32.2,32.57,32.93
14:13,31.89,32.27,32.64,33.02
14:15,31.94,32.33,32.72,33.11
14:17,32,32.4,32.8,33.2
14:19,32.06,32.47,32.88,33.29
14:21,32.11,32.53,32.96,33.38
14:23,32.17,32.6,33.03,33.47
14:25,32.22,32.67,33.11,33.56
14:27,32.28,32.73,33.19,33.64
14:29,32.33,32.8,33.27,33.73
14:31,32.39,32.87,33.34,33.82
14:33,32.44,32.93,33.42,33.91
14:35,32.5,33,33.5,34
14:37,32.56,33.07,33.58,34.09
14:39,32.61,33.13,33.66,34.18
14:41,32.67,33.2,33.73,34.27
14:43,32.72,33.27,33.81,34.36
14:45,32.78,33.33,33.89,34.44
14:47,32.83,33.4,33.97,34.53
14:49,32.89,33.47,34.04,34.62
14:51,32.94,33.53,34.12,34.71
14:53,33,33.6,34.2,34.8
14:55,33.06,33.67,34.28,34.89
14:57,33.11,33.73,34.36,34.98
14:59,33.17,33.8,34.43,35.07
15:01,33.22,33.87,34.51,35.16
15:03,33.28,33.93,34.59,35.24
15:05,33.33,34,34.67,35.33
15:07,33.39,34.07,34.74,35.42
15:09,33.44,34.13,34.82,35.51
15:11,33.5,34.2,34.9,35.6
15:13,33.56,34.27,34.98,35.69
15:15,33.61,34.33,35.06,35.78
15:17,33.67,34.4,35.13,35.87
15:19,33.72,34.47,35.21,35.96
15:21,33.78,34.53,35.29,36.04
15:23,33.83,34.6,35.37,36.13
15:25,33.89,34.67,35.44,36.22
15:27,33.94,34.73,35.52,36.31
15:29,34,34.8,35.6,36.4
15:31,34.06,34.87,35.68,36.49
15:33,34.11,34.93,35.76,36.58
15:35,34.17,35,35.83,36.67
15:37,34.22,35.07,35.91,36.76
15:39,34.28,35.13,35.99,36.84
15:41,34.33,35.2,36.07,36.93
15:43,34.39,35.27,36.14,37.02
15:45,34.44,35.33,36.22,37.11
15:47,34.5,35.4,36.3,37.2
15:49,34.56,35.47,36.38,37.29
15:51,34.61,35.53,36.46,37.38
15:53,34.67,35.6,36.53,37.47
15:55,34.72,35.67,36.61,37.56
15:57,34.78,35.73,36.69,37.64
15:59,34.83,35.8,36.77,37.73
16:01,34.89,35.87,36.84,37.82
16:03,34.94,35.93,36.92,37.91
16:05,35,36,37,38
16:15,35,36,37,38
16:25,35,36,37,38
16:35,35,36,37,38
16:45,35,36,37,38
16:55,35,36,37,38
17:05,35,36,37,38
17:15,35,36,37,38
17:25,35,36,37,38
17:35,35,36,37,38
17:45,35,36,37,38
17:55,35,36,37,38
18:05,35,36,37,38
18:15,35,36,37,38
18:25,35,36,37,38
18:35,35,36,37,38
18:45,35,36,37,38
18:55,35,36,37,38
19:05,35,36,37,38
19:07,34.83,35.8,36.77,37.73
19:09,34.67,35.6,36.53,37.47
19:11,34.5,35.4,36.3,37.2
19:13,34.33,35.2,36.07,36.93
19:15,34.17,35,35.83,36.67
19:17,34,34.8,35.6,36.4
19:19,33.83,34.6,35.37,36.13
19:21,33.67,34.4,35.13,35.87
19:23,33.5,34.2,34.9,35.6
19:25,33.33,34,34.67,35.33
19:27,33.17,33.8,34.43,35.07
19:29,33,33.6,34.2,34.8
19:31,32.83,33.4,33.97,34.53
19:33,32.67,33.2,33.73,34.27
19:35,32.5,33,33.5,34
19:37,32.33,32.8,33.27,33.73
19:39,32.17,32.6,33.03,33.47
19:41,32,32.4,32.8,33.2
19:43,31.83,32.2,32.57,32.93
19:45,31.67,32,32.33,32.67
19:47,31.5,31.8,32.1,32.4
19:49,31.33,31.6,31.87,32.13
19:51,31.17,31.4,31.63,31.87
19:53,31,31.2,31.4,31.6
19:55,30.83,31,31.17,31.33
19:57,30.67,30.8,30.93,31.07
19:59,30.5,30.6,30.7,30.8
20:01,30.33,30.4,30.47,30.53
20:03,30.17,30.2,30.23,30.27
20:05,30,30,30,30
20:15,30,30,30,30
20:25,30,30,30,30
20:35,30,30,30,30
20:45,30,30,30,30
20:55,30,30,30,30
21:05,30,30,30,30
21:15,30,30,30,30
21:25,30,30,30,30
21:35,30,30,30,30
21:45,30,30,30,30
21:55,30,30,30,30
22:05,30,30,30,30
22:15,30,30,30,30
22:25,30,30,30,30
22:35,30,30,30,30
22:45,30,30,30,30
22:55,30,30,30,30
23:05,30,30,30,30
23:15,30,30,30,30
23:25,30,30,30,30
23:35,30,30,30,30
23:45,30,30,30,30
23:55,30,30,30,30