Tank,Geno,rec,f,fm,yii
S7,25,9229,467,1136,0.589
S7,25,9230,496,1254,0.604
S7,162,9231,176,423,0.584
S7,162,9232,170,387,0.561
S7,21,9233,340,786,0.567
S7,21,9234,324,868,0.627
S7,150,9235,293,723,0.595
S7,150,9236,253,671,0.623
S7,28,9237,336,1068,0.685
S7,28,9239,308,980,0.686
S7,11,9240,430,1052,0.591
S7,11,9241,377,932,0.595
S7,CN3,9242,261,606,0.569
S7,CN3,9243,240,634,0.621
S7,182,9244,256,648,0.605
S7,182,9245,303,673,0.55
S7,174,9246,233,575,0.595
S7,174,9247,103,262,0.607
S7,166,9248,365,924,0.605
S7,166,9249,341,921,0.63
S7,167,9250,375,873,0.57
S7,167,9251,426,1010,0.578
S7,176B,9252,179,526,0.66
S7,176B,9253,234,631,0.629
S7,171,9254,375,1072,0.65
S7,171,9255,287,887,0.676
S7,173,9256,201,591,0.66
S7,173,9257,190,329,0.422
S7,CN2,9258,350,809,0.567
S7,CN2,9259,377,890,0.576
S7,175,9260,286,639,0.552
S7,175,9261,216,497,0.565
S7,156,9262,331,964,0.657
S7,156,9263,158,522,0.697
S7,170B,9264,224,553,0.595
S7,170B,9266,276,856,0.678
S7,165,9267,251,682,0.632
S7,165,9268,220,796,0.724
S7,161,9269,149,332,0.551
S7,161,9270,170,529,0.679
S7,154,9271,212,717,0.704
S7,154,9272,308,942,0.673