geno,f,fm,fvfm,tank_id,tank_set,max_temp
ML55,74,102,0.275,S1,starboard,38
ML55,89,107,0.168,S1,starboard,38
ML48,169,191,0.115,S1,starboard,38
ML48,105,141,0.255,S1,starboard,38
ML88,164,203,0.192,S1,starboard,38
ML88,118,144,0.181,S1,starboard,38
ML47,116,155,0.252,S1,starboard,38
ML47,45,58,0.224,S1,starboard,38
ML8,59,74,0.203,S1,starboard,38
ML8,145,201,0.279,S1,starboard,38
ML75,366,380,0.037,S1,starboard,38
ML75,417,566,0.263,S1,starboard,38
ML51,73,90,0.189,S1,starboard,38
ML51,87,114,0.237,S1,starboard,38
ML62,19,47,NA,S1,starboard,38
ML62,76,101,0.248,S1,starboard,38
ML29,173,209,0.172,S1,starboard,38
ML29,168,192,0.125,S1,starboard,38
ML3,37,39,NA,S1,starboard,38
ML3,41,55,0.255,S1,starboard,38
ML84,47,57,0.175,S1,starboard,38
ML84,57,70,0.186,S1,starboard,38
ML34,53,85,0.376,S1,starboard,38
ML34,51,78,0.346,S1,starboard,38
ML80,152,174,0.126,S1,starboard,38
ML80,183,205,0.107,S1,starboard,38
ML58,370,450,0.178,S1,starboard,38
ML58,303,374,0.19,S1,starboard,38
ML56,35,56,0.375,S1,starboard,38
ML56,36,59,0.39,S1,starboard,38
ML4,94,119,0.21,S1,starboard,38
ML4,71,90,0.211,S1,starboard,38
ML7,141,169,0.166,S1,starboard,38
ML7,125,172,0.273,S1,starboard,38
ML38,76,88,0.136,S1,starboard,38
ML38,87,101,0.139,S1,starboard,38
ML57,40,64,0.375,S1,starboard,38
ML57,60,76,0.211,S1,starboard,38
ML41,182,200,0.09,S1,starboard,38
ML41,115,116,0.009,S1,starboard,38
ML55,41,83,0.506,S2,starboard,37
ML55,35,48,NA,S2,starboard,37
ML48,67,94,0.287,S2,starboard,37
ML48,111,179,0.38,S2,starboard,37
ML88,379,503,0.247,S2,starboard,37
ML88,442,625,0.293,S2,starboard,37
ML47,141,264,0.466,S2,starboard,37
ML47,127,292,0.565,S2,starboard,37
ML8,363,381,0.047,S2,starboard,37
ML8,113,221,0.489,S2,starboard,37
ML75,378,443,0.147,S2,starboard,37
ML75,398,477,0.166,S2,starboard,37
ML51,324,413,0.215,S2,starboard,37
ML51,236,326,0.276,S2,starboard,37
ML62,213,252,0.155,S2,starboard,37
ML62,285,318,0.104,S2,starboard,37
ML29,502,556,0.097,S2,starboard,37
ML29,517,651,0.206,S2,starboard,37
ML3,328,409,0.198,S2,starboard,37
ML3,251,313,0.198,S2,starboard,37
ML84,308,354,0.13,S2,starboard,37
ML84,358,465,0.23,S2,starboard,37
ML34,122,167,0.269,S2,starboard,37
ML34,229,359,0.362,S2,starboard,37
ML80,187,261,0.284,S2,starboard,37
ML80,147,228,0.355,S2,starboard,37
ML58,580,680,0.147,S2,starboard,37
ML58,611,704,0.132,S2,starboard,37
ML56,324,493,0.343,S2,starboard,37
ML56,202,326,0.38,S2,starboard,37
ML4,135,183,0.262,S2,starboard,37
ML4,185,216,0.144,S2,starboard,37
ML7,462,527,0.123,S2,starboard,37
ML7,125,131,0.046,S2,starboard,37
ML38,130,166,0.217,S2,starboard,37
ML38,123,180,0.317,S2,starboard,37
ML57,160,227,0.295,S2,starboard,37
ML57,153,251,0.39,S2,starboard,37
ML41,314,427,0.265,S2,starboard,37
ML41,261,326,0.199,S2,starboard,37
ML55,104,152,0.316,S3,starboard,36
ML55,174,389,0.553,S3,starboard,36
ML48,165,213,0.225,S3,starboard,36
ML48,419,523,0.199,S3,starboard,36
ML88,245,373,0.343,S3,starboard,36
ML88,243,330,0.264,S3,starboard,36
ML47,389,505,0.23,S3,starboard,36
ML47,235,321,0.268,S3,starboard,36
ML8,178,251,0.291,S3,starboard,36
ML8,110,168,0.345,S3,starboard,36
ML75,277,536,0.483,S3,starboard,36
ML75,406,551,0.263,S3,starboard,36
ML51,215,256,0.16,S3,starboard,36
ML51,281,389,0.278,S3,starboard,36
ML62,392,468,0.162,S3,starboard,36
ML62,327,424,0.229,S3,starboard,36
ML29,446,653,0.317,S3,starboard,36
ML29,233,381,0.388,S3,starboard,36
ML3,308,403,0.236,S3,starboard,36
ML3,208,289,0.28,S3,starboard,36
ML84,429,543,0.21,S3,starboard,36
ML84,222,346,0.358,S3,starboard,36
ML34,221,350,0.369,S3,starboard,36
ML34,238,447,0.468,S3,starboard,36
ML80,277,356,0.222,S3,starboard,36
ML80,298,425,0.299,S3,starboard,36
ML58,467,613,0.238,S3,starboard,36
ML58,241,331,0.272,S3,starboard,36
ML56,417,611,0.318,S3,starboard,36
ML56,361,531,0.32,S3,starboard,36
ML4,285,426,0.331,S3,starboard,36
ML4,312,423,0.262,S3,starboard,36
ML7,274,516,0.469,S3,starboard,36
ML7,189,435,0.566,S3,starboard,36
ML38,282,408,0.309,S3,starboard,36
ML38,383,532,0.28,S3,starboard,36
ML57,224,262,0.145,S3,starboard,36
ML57,271,361,0.249,S3,starboard,36
ML41,250,347,0.28,S3,starboard,36
ML41,277,389,0.288,S3,starboard,36
ML55,484,928,0.478,S4,starboard,35
ML55,369,726,0.492,S4,starboard,35
ML48,237,384,0.383,S4,starboard,35
ML48,468,684,0.316,S4,starboard,35
ML88,436,769,0.433,S4,starboard,35
ML88,336,693,0.515,S4,starboard,35
ML47,425,661,0.357,S4,starboard,35
ML47,355,627,0.434,S4,starboard,35
ML8,213,337,0.368,S4,starboard,35
ML8,362,577,0.373,S4,starboard,35
ML75,401,650,0.383,S4,starboard,35
ML75,308,659,0.533,S4,starboard,35
ML51,306,495,0.382,S4,starboard,35
ML51,277,660,0.58,S4,starboard,35
ML62,357,711,0.498,S4,starboard,35
ML62,306,608,0.497,S4,starboard,35
ML29,334,572,0.416,S4,starboard,35
ML29,173,267,0.352,S4,starboard,35
ML3,369,734,0.497,S4,starboard,35
ML3,369,649,0.431,S4,starboard,35
ML84,168,243,0.309,S4,starboard,35
ML84,227,721,0.685,S4,starboard,35
ML34,246,437,0.437,S4,starboard,35
ML34,349,552,0.368,S4,starboard,35
ML80,286,506,0.435,S4,starboard,35
ML80,152,359,0.577,S4,starboard,35
ML58,316,538,0.413,S4,starboard,35
ML58,274,481,0.43,S4,starboard,35
ML56,345,631,0.453,S4,starboard,35
ML56,369,606,0.391,S4,starboard,35
ML4,298,596,0.5,S4,starboard,35
ML4,289,575,0.497,S4,starboard,35
ML7,355,807,0.56,S4,starboard,35
ML7,340,792,0.571,S4,starboard,35
ML38,252,701,0.641,S4,starboard,35
ML38,240,634,0.621,S4,starboard,35
ML57,292,551,0.47,S4,starboard,35
ML57,290,560,0.482,S4,starboard,35
ML41,295,499,0.409,S4,starboard,35
ML41,216,513,0.579,S4,starboard,35
ML55,195,561,0.652,S5,starboard,34
ML55,184,458,0.598,S5,starboard,34
ML48,332,900,0.631,S5,starboard,34
ML48,302,835,0.638,S5,starboard,34
ML88,235,597,0.606,S5,starboard,34
ML88,238,595,0.6,S5,starboard,34
ML47,222,493,0.55,S5,starboard,34
ML47,234,532,0.56,S5,starboard,34
ML8,400,773,0.483,S5,starboard,34
ML8,327,711,0.54,S5,starboard,34
ML75,331,799,0.586,S5,starboard,34
ML75,296,729,0.594,S5,starboard,34
ML51,261,533,0.51,S5,starboard,34
ML51,341,662,0.485,S5,starboard,34
ML62,244,677,0.64,S5,starboard,34
ML62,244,674,0.638,S5,starboard,34
ML29,289,715,0.596,S5,starboard,34
ML29,295,745,0.604,S5,starboard,34
ML3,208,466,0.554,S5,starboard,34
ML3,267,587,0.545,S5,starboard,34
ML84,264,662,0.601,S5,starboard,34
ML84,399,955,0.582,S5,starboard,34
ML34,310,684,0.547,S5,starboard,34
ML34,244,547,0.554,S5,starboard,34
ML80,202,514,0.607,S5,starboard,34
ML80,244,585,0.583,S5,starboard,34
ML58,218,487,0.552,S5,starboard,34
ML58,229,519,0.559,S5,starboard,34
ML56,156,352,0.557,S5,starboard,34
ML56,288,667,0.568,S5,starboard,34
ML4,259,703,0.632,S5,starboard,34
ML4,268,630,0.575,S5,starboard,34
ML7,270,603,0.552,S5,starboard,34
ML7,239,537,0.555,S5,starboard,34
ML38,236,641,0.632,S5,starboard,34
ML38,320,813,0.606,S5,starboard,34
ML57,229,713,0.679,S5,starboard,34
ML57,217,466,0.534,S5,starboard,34
ML41,214,455,0.53,S5,starboard,34
ML41,200,464,0.569,S5,starboard,34
ML55,260,921,0.718,S6,starboard,33
ML55,364,982,0.629,S6,starboard,33
ML48,267,771,0.654,S6,starboard,33
ML48,352,1094,0.678,S6,starboard,33
ML88,328,898,0.635,S6,starboard,33
ML88,302,845,0.643,S6,starboard,33
ML47,274,853,0.679,S6,starboard,33
ML47,244,679,0.641,S6,starboard,33
ML8,220,574,0.617,S6,starboard,33
ML8,267,722,0.63,S6,starboard,33
ML75,220,716,0.693,S6,starboard,33
ML75,297,844,0.648,S6,starboard,33
ML51,249,676,0.632,S6,starboard,33
ML51,221,555,0.602,S6,starboard,33
ML62,242,767,0.684,S6,starboard,33
ML62,238,593,0.599,S6,starboard,33
ML29,278,713,0.61,S6,starboard,33
ML29,154,387,0.602,S6,starboard,33
ML3,267,755,0.646,S6,starboard,33
ML3,281,754,0.627,S6,starboard,33
ML84,263,864,0.696,S6,starboard,33
ML84,227,586,0.613,S6,starboard,33
ML34,258,727,0.645,S6,starboard,33
ML34,274,771,0.645,S6,starboard,33
ML80,232,605,0.617,S6,starboard,33
ML80,263,648,0.594,S6,starboard,33
ML58,258,605,0.574,S6,starboard,33
ML58,225,688,0.673,S6,starboard,33
ML56,295,843,0.65,S6,starboard,33
ML56,320,1040,0.692,S6,starboard,33
ML4,227,730,0.689,S6,starboard,33
ML4,234,745,0.686,S6,starboard,33
ML7,242,700,0.654,S6,starboard,33
ML7,258,720,0.642,S6,starboard,33
ML38,205,557,0.632,S6,starboard,33
ML38,220,594,0.63,S6,starboard,33
ML57,230,754,0.695,S6,starboard,33
ML57,223,696,0.68,S6,starboard,33
ML41,205,601,0.659,S6,starboard,33
ML41,218,601,0.637,S6,starboard,33
ML55,318,1024,0.689,S7,starboard,32
ML55,237,720,0.671,S7,starboard,32
ML48,322,1072,0.7,S7,starboard,32
ML48,331,1055,0.686,S7,starboard,32
ML88,262,711,0.632,S7,starboard,32
ML88,225,597,0.623,S7,starboard,32
ML47,344,906,0.62,S7,starboard,32
ML47,228,601,0.621,S7,starboard,32
ML8,298,792,0.624,S7,starboard,32
ML8,293,869,0.663,S7,starboard,32
ML75,207,607,0.659,S7,starboard,32
ML75,298,814,0.634,S7,starboard,32
ML51,193,567,0.66,S7,starboard,32
ML51,223,605,0.631,S7,starboard,32
ML62,246,688,0.642,S7,starboard,32
ML62,218,662,0.671,S7,starboard,32
ML29,251,768,0.673,S7,starboard,32
ML29,242,659,0.633,S7,starboard,32
ML3,230,651,0.647,S7,starboard,32
ML3,268,755,0.645,S7,starboard,32
ML84,256,865,0.704,S7,starboard,32
ML84,250,669,0.626,S7,starboard,32
ML34,240,629,0.618,S7,starboard,32
ML34,214,681,0.686,S7,starboard,32
ML80,222,666,0.667,S7,starboard,32
ML80,204,637,0.68,S7,starboard,32
ML58,201,567,0.646,S7,starboard,32
ML58,260,751,0.654,S7,starboard,32
ML56,262,817,0.679,S7,starboard,32
ML56,330,943,0.65,S7,starboard,32
ML4,208,586,0.645,S7,starboard,32
ML4,245,652,0.624,S7,starboard,32
ML7,345,1015,0.66,S7,starboard,32
ML7,206,715,0.712,S7,starboard,32
ML38,260,823,0.684,S7,starboard,32
ML38,246,578,0.574,S7,starboard,32
ML57,207,484,0.572,S7,starboard,32
ML57,228,655,0.652,S7,starboard,32
ML41,254,679,0.626,S7,starboard,32
ML41,224,635,0.647,S7,starboard,32
ML55,233,807,0.711,S8,starboard,30
ML55,164,462,0.645,S8,starboard,30
ML48,135,381,0.646,S8,starboard,30
ML48,118,342,0.655,S8,starboard,30
ML88,310,783,0.604,S8,starboard,30
ML88,284,974,0.708,S8,starboard,30
ML47,264,863,0.694,S8,starboard,30
ML47,240,702,0.658,S8,starboard,30
ML8,160,438,0.635,S8,starboard,30
ML8,172,611,0.718,S8,starboard,30
ML75,226,632,0.642,S8,starboard,30
ML75,326,987,0.67,S8,starboard,30
ML51,155,430,0.64,S8,starboard,30
ML51,208,556,0.626,S8,starboard,30
ML62,256,750,0.659,S8,starboard,30
ML62,224,590,0.62,S8,starboard,30
ML29,202,539,0.625,S8,starboard,30
ML29,228,706,0.677,S8,starboard,30
ML3,230,654,0.648,S8,starboard,30
ML3,211,555,0.62,S8,starboard,30
ML84,260,697,0.627,S8,starboard,30
ML84,281,764,0.632,S8,starboard,30
ML34,229,763,0.7,S8,starboard,30
ML34,202,508,0.602,S8,starboard,30
ML80,205,553,0.629,S8,starboard,30
ML80,218,644,0.661,S8,starboard,30
ML58,192,496,0.613,S8,starboard,30
ML58,198,560,0.646,S8,starboard,30
ML56,263,826,0.682,S8,starboard,30
ML56,195,518,0.624,S8,starboard,30
ML4,207,654,0.683,S8,starboard,30
ML4,203,582,0.651,S8,starboard,30
ML7,280,703,0.602,S8,starboard,30
ML7,213,599,0.644,S8,starboard,30
ML38,277,854,0.676,S8,starboard,30
ML38,213,534,0.601,S8,starboard,30
ML57,276,800,0.655,S8,starboard,30
ML57,235,673,0.651,S8,starboard,30
ML41,174,511,0.659,S8,starboard,30
ML41,194,542,0.642,S8,starboard,30
ML54,424,670,0.367,P1,port,35
ML54,433,772,0.439,P1,port,35
ML6,359,593,0.395,P1,port,35
ML6,195,449,0.566,P1,port,35
ML76,329,497,0.338,P1,port,35
ML76,375,644,0.418,P1,port,35
ML44,344,628,0.452,P1,port,35
ML44,346,644,0.463,P1,port,35
ML1,206,361,0.429,P1,port,35
ML1,409,658,0.378,P1,port,35
ML20,333,508,0.344,P1,port,35
ML20,294,530,0.445,P1,port,35
ML89,438,819,0.465,P1,port,35
ML89,469,751,0.375,P1,port,35
ML79,170,393,0.567,P1,port,35
ML79,361,958,0.623,P1,port,35
ML70,273,525,0.48,P1,port,35
ML70,388,831,0.533,P1,port,35
ML50,378,627,0.397,P1,port,35
ML50,264,490,0.461,P1,port,35
ML10,272,515,0.472,P1,port,35
ML10,297,607,0.511,P1,port,35
ML46,284,660,0.57,P1,port,35
ML46,363,848,0.572,P1,port,35
ML13,359,571,0.371,P1,port,35
ML13,298,457,0.348,P1,port,35
ML90,366,1125,0.675,P1,port,35
ML90,254,708,0.641,P1,port,35
ML77,304,569,0.466,P1,port,35
ML77,353,696,0.493,P1,port,35
ML63,325,783,0.585,P1,port,35
ML63,322,885,0.636,P1,port,35
ML78,386,802,0.519,P1,port,35
ML78,271,552,0.509,P1,port,35
ML5,374,822,0.545,P1,port,35
ML5,266,586,0.546,P1,port,35
ML36,181,382,0.526,P1,port,35
ML36,211,598,0.647,P1,port,35
ML31,367,650,0.435,P1,port,35
ML31,398,653,0.391,P1,port,35
ML54,381,551,0.309,P2,port,36
ML54,444,623,0.287,P2,port,36
ML6,229,305,0.249,P2,port,36
ML6,276,334,0.174,P2,port,36
ML76,271,573,0.527,P2,port,36
ML76,432,565,0.235,P2,port,36
ML44,145,174,0.167,P2,port,36
ML44,91,131,0.305,P2,port,36
ML1,262,313,0.163,P2,port,36
ML1,140,186,0.247,P2,port,36
ML20,352,418,0.158,P2,port,36
ML20,297,378,0.214,P2,port,36
ML89,344,455,0.244,P2,port,36
ML89,384,468,0.179,P2,port,36
ML79,288,441,0.347,P2,port,36
ML79,380,504,0.246,P2,port,36
ML70,328,583,0.437,P2,port,36
ML70,377,620,0.392,P2,port,36
ML50,320,526,0.392,P2,port,36
ML50,295,502,0.412,P2,port,36
ML10,272,356,0.236,P2,port,36
ML10,322,514,0.374,P2,port,36
ML46,315,401,0.214,P2,port,36
ML46,451,578,0.22,P2,port,36
ML13,346,523,0.338,P2,port,36
ML13,234,333,0.297,P2,port,36
ML90,140,365,0.616,P2,port,36
ML90,224,587,0.618,P2,port,36
ML77,318,459,0.307,P2,port,36
ML77,373,569,0.344,P2,port,36
ML63,259,420,0.383,P2,port,36
ML63,203,283,0.283,P2,port,36
ML78,353,611,0.422,P2,port,36
ML78,357,494,0.277,P2,port,36
ML5,280,434,0.355,P2,port,36
ML5,266,320,0.169,P2,port,36
ML36,276,485,0.431,P2,port,36
ML36,382,497,0.231,P2,port,36
ML31,328,384,0.146,P2,port,36
ML31,203,267,0.24,P2,port,36
ML54,239,323,0.26,P3,port,37
ML54,143,171,0.164,P3,port,37
ML6,143,195,0.267,P3,port,37
ML6,71,112,0.366,P3,port,37
ML76,159,228,0.303,P3,port,37
ML76,569,685,0.169,P3,port,37
ML44,67,86,0.221,P3,port,37
ML44,115,155,0.258,P3,port,37
ML1,140,184,0.239,P3,port,37
ML1,126,179,0.296,P3,port,37
ML20,126,154,0.182,P3,port,37
ML20,258,386,0.332,P3,port,37
ML89,473,634,0.254,P3,port,37
ML89,468,621,0.246,P3,port,37
ML79,284,374,0.241,P3,port,37
ML79,631,742,0.15,P3,port,37
ML70,119,168,0.292,P3,port,37
ML70,171,215,0.205,P3,port,37
ML50,373,465,0.198,P3,port,37
ML50,449,535,0.161,P3,port,37
ML10,321,398,0.193,P3,port,37
ML10,368,523,0.296,P3,port,37
ML46,184,257,0.284,P3,port,37
ML46,290,415,0.301,P3,port,37
ML13,146,198,0.263,P3,port,37
ML13,96,144,0.333,P3,port,37
ML90,116,261,0.556,P3,port,37
ML90,92,191,0.518,P3,port,37
ML77,256,357,0.283,P3,port,37
ML77,245,341,0.282,P3,port,37
ML63,446,515,0.134,P3,port,37
ML63,290,390,0.256,P3,port,37
ML78,211,244,0.135,P3,port,37
ML78,298,364,0.181,P3,port,37
ML5,300,388,0.227,P3,port,37
ML5,196,273,0.282,P3,port,37
ML36,102,131,0.221,P3,port,37
ML36,157,206,0.238,P3,port,37
ML31,256,328,0.22,P3,port,37
ML31,160,210,0.238,P3,port,37
ML54,492,545,0.097,P4,port,38
ML54,242,316,0.234,P4,port,38
ML6,133,185,0.281,P4,port,38
ML6,129,161,0.199,P4,port,38
ML76,499,556,0.103,P4,port,38
ML76,391,451,0.133,P4,port,38
ML44,190,223,0.148,P4,port,38
ML44,147,183,0.197,P4,port,38
ML1,258,312,0.173,P4,port,38
ML1,695,943,0.263,P4,port,38
ML20,217,278,0.219,P4,port,38
ML20,167,212,0.212,P4,port,38
ML89,205,258,0.205,P4,port,38
ML89,166,205,0.19,P4,port,38
ML79,104,122,0.148,P4,port,38
ML79,121,148,0.182,P4,port,38
ML70,427,533,0.199,P4,port,38
ML70,162,195,0.169,P4,port,38
ML50,108,128,0.156,P4,port,38
ML50,264,335,0.212,P4,port,38
ML10,308,375,0.179,P4,port,38
ML10,270,310,0.129,P4,port,38
ML46,29,44,NA,P4,port,38
ML46,23,57,0.596,P4,port,38
ML13,43,53,0.189,P4,port,38
ML13,45,67,0.328,P4,port,38
ML90,87,95,0.084,P4,port,38
ML90,202,445,0.546,P4,port,38
ML77,41,48,NA,P4,port,38
ML77,161,183,0.12,P4,port,38
ML63,72,87,0.172,P4,port,38
ML63,32,36,NA,P4,port,38
ML78,42,67,0.373,P4,port,38
ML78,62,96,0.354,P4,port,38
ML5,178,234,0.239,P4,port,38
ML5,123,155,0.206,P4,port,38
ML36,114,140,0.186,P4,port,38
ML36,62,79,0.215,P4,port,38
ML31,103,131,0.214,P4,port,38
ML31,91,120,0.242,P4,port,38
ML54,521,845,0.383,P5,port,34
ML54,215,542,0.603,P5,port,34
ML6,190,443,0.571,P5,port,34
ML6,291,661,0.56,P5,port,34
ML76,180,366,0.508,P5,port,34
ML76,261,538,0.515,P5,port,34
ML44,229,580,0.605,P5,port,34
ML44,399,945,0.578,P5,port,34
ML1,319,738,0.568,P5,port,34
ML1,435,889,0.511,P5,port,34
ML20,218,424,0.486,P5,port,34
ML20,287,618,0.536,P5,port,34
ML89,317,788,0.598,P5,port,34
ML89,368,836,0.56,P5,port,34
ML79,313,778,0.598,P5,port,34
ML79,383,874,0.562,P5,port,34
ML70,238,583,0.592,P5,port,34
ML70,170,388,0.562,P5,port,34
ML50,275,574,0.521,P5,port,34
ML50,306,640,0.522,P5,port,34
ML10,136,271,0.498,P5,port,34
ML10,248,602,0.588,P5,port,34
ML46,312,731,0.573,P5,port,34
ML46,232,568,0.592,P5,port,34
ML13,265,723,0.633,P5,port,34
ML13,170,508,0.665,P5,port,34
ML90,389,992,0.608,P5,port,34
ML90,392,1097,0.643,P5,port,34
ML77,304,601,0.494,P5,port,34
ML77,340,749,0.546,P5,port,34
ML63,194,504,0.615,P5,port,34
ML63,252,678,0.628,P5,port,34
ML78,291,682,0.573,P5,port,34
ML78,300,590,0.492,P5,port,34
ML5,315,783,0.598,P5,port,34
ML5,178,536,0.668,P5,port,34
ML36,201,512,0.607,P5,port,34
ML36,297,655,0.547,P5,port,34
ML31,151,394,0.617,P5,port,34
ML31,229,734,0.688,P5,port,34
ML54,328,857,0.617,P6,port,33
ML54,327,901,0.637,P6,port,33
ML6,196,393,0.501,P6,port,33
ML6,180,563,0.68,P6,port,33
ML76,241,558,0.568,P6,port,33
ML76,268,726,0.631,P6,port,33
ML44,227,534,0.575,P6,port,33
ML44,279,672,0.585,P6,port,33
ML1,287,751,0.618,P6,port,33
ML1,261,737,0.646,P6,port,33
ML20,215,545,0.606,P6,port,33
ML20,202,553,0.635,P6,port,33
ML89,299,893,0.665,P6,port,33
ML89,248,799,0.69,P6,port,33
ML79,298,774,0.615,P6,port,33
ML79,371,921,0.597,P6,port,33
ML70,240,786,0.695,P6,port,33
ML70,183,546,0.665,P6,port,33
ML50,196,534,0.633,P6,port,33
ML50,219,599,0.634,P6,port,33
ML10,264,656,0.598,P6,port,33
ML10,263,663,0.603,P6,port,33
ML46,268,610,0.561,P6,port,33
ML46,254,698,0.636,P6,port,33
ML13,287,876,0.672,P6,port,33
ML13,273,782,0.651,P6,port,33
ML90,247,599,0.588,P6,port,33
ML90,388,812,0.522,P6,port,33
ML77,242,681,0.645,P6,port,33
ML77,218,595,0.634,P6,port,33
ML63,294,680,0.568,P6,port,33
ML63,258,688,0.625,P6,port,33
ML78,267,796,0.665,P6,port,33
ML78,292,847,0.655,P6,port,33
ML5,255,872,0.708,P6,port,33
ML5,251,722,0.652,P6,port,33
ML36,241,682,0.647,P6,port,33
ML36,252,674,0.626,P6,port,33
ML31,243,722,0.663,P6,port,33
ML31,200,510,0.608,P6,port,33
ML54,223,602,0.63,P7,port,32
ML54,228,587,0.612,P7,port,32
ML6,225,639,0.648,P7,port,32
ML6,235,600,0.608,P7,port,32
ML76,231,696,0.668,P7,port,32
ML76,268,761,0.648,P7,port,32
ML44,270,805,0.665,P7,port,32
ML44,184,582,0.684,P7,port,32
ML1,223,601,0.629,P7,port,32
ML1,292,871,0.665,P7,port,32
ML20,181,524,0.655,P7,port,32
ML20,202,576,0.649,P7,port,32
ML89,273,868,0.685,P7,port,32
ML89,205,673,0.695,P7,port,32
ML79,278,782,0.645,P7,port,32
ML79,235,803,0.707,P7,port,32
ML70,237,609,0.611,P7,port,32
ML70,264,743,0.645,P7,port,32
ML50,233,816,0.714,P7,port,32
ML50,239,803,0.702,P7,port,32
ML10,221,683,0.676,P7,port,32
ML10,259,754,0.656,P7,port,32
ML46,252,869,0.71,P7,port,32
ML46,257,773,0.668,P7,port,32
ML13,249,857,0.709,P7,port,32
ML13,316,884,0.643,P7,port,32
ML90,342,1025,0.666,P7,port,32
ML90,160,522,0.693,P7,port,32
ML77,271,830,0.673,P7,port,32
ML77,237,802,0.704,P7,port,32
ML63,222,677,0.672,P7,port,32
ML63,283,790,0.642,P7,port,32
ML78,234,697,0.664,P7,port,32
ML78,221,618,0.642,P7,port,32
ML5,200,644,0.689,P7,port,32
ML5,245,785,0.688,P7,port,32
ML36,170,490,0.653,P7,port,32
ML36,222,714,0.689,P7,port,32
ML31,200,579,0.655,P7,port,32
ML31,223,648,0.656,P7,port,32
ML54,323,1056,0.694,P8,port,30
ML54,294,947,0.69,P8,port,30
ML6,199,585,0.66,P8,port,30
ML6,262,724,0.638,P8,port,30
ML76,271,859,0.685,P8,port,30
ML76,262,698,0.625,P8,port,30
ML44,295,751,0.607,P8,port,30
ML44,162,442,0.633,P8,port,30
ML1,212,587,0.639,P8,port,30
ML1,230,645,0.643,P8,port,30
ML20,233,789,0.705,P8,port,30
ML20,135,343,0.606,P8,port,30
ML89,214,575,0.628,P8,port,30
ML89,350,1060,0.67,P8,port,30
ML79,211,616,0.657,P8,port,30
ML79,257,763,0.663,P8,port,30
ML70,243,763,0.682,P8,port,30
ML70,303,974,0.689,P8,port,30
ML50,187,513,0.635,P8,port,30
ML50,204,530,0.615,P8,port,30
ML10,205,584,0.649,P8,port,30
ML10,150,403,0.628,P8,port,30
ML46,153,413,0.63,P8,port,30
ML46,239,780,0.694,P8,port,30
ML13,262,721,0.637,P8,port,30
ML13,304,865,0.649,P8,port,30
ML90,288,835,0.655,P8,port,30
ML90,319,945,0.662,P8,port,30
ML77,284,792,0.641,P8,port,30
ML77,237,614,0.614,P8,port,30
ML63,149,427,0.651,P8,port,30
ML63,153,493,0.69,P8,port,30
ML78,242,770,0.686,P8,port,30
ML78,187,517,0.638,P8,port,30
ML5,200,584,0.658,P8,port,30
ML5,237,564,0.58,P8,port,30
ML36,195,629,0.69,P8,port,30
ML36,249,817,0.695,P8,port,30
ML31,191,534,0.642,P8,port,30
ML31,241,834,0.711,P8,port,30
